robot_count,time_taken,waypoint_count_0,waypoint_count_1,waypoint_count_2,perc_disc,new
1,551.4897296,73,0,0,0.846914618,n
1,503.1084991,67,0,0,0.997828523,n
1,607.464375,81,0,0,0.969859158,n
1,212.6756945,29,0,0,0.597273664,n
1,863.0439639,115,0,0,1,n
1,541.9676154,72,0,0,0.998441266,n
1,722.4147766,96,0,0,1,n
1,761.5598202,101,0,0,1,n
3,180.9994543,25,25,25,0.75410761,n
3,585.1368001,78,78,80,1,n
3,576.1871216,77,77,77,1,n
3,213.4038732,29,29,29,0.788685173,n
3,150.6439724,21,21,21,0.61398741,n
3,552.4094114,74,74,74,1,n
3,131.0844016,18,18,18,0.476874364,n
3,292.5294096,40,40,39,1,n
3,258.3089645,35,35,35,0.486263474,n
3,125.8278747,17,17,17,0.673272659,n
3,357.2332537,48,48,48,0.729154827,n
3,182.0954931,25,25,25,0.780464989,n
3,116.0395513,16,16,16,0.370153375,n
3,194.1840563,26,26,26,0.719445206,n
3,714.8059161,95,95,95,1,n
3,297.0719256,40,40,40,0.946622056,n
3,226.8247976,31,31,31,0.841098272,n
3,429.7100892,58,58,57,1,n
3,260.5745676,35,35,35,0.920132701,n
3,113.3301492,16,16,16,0.447736075,n
3,217.9140384,30,30,30,0.842776245,n
1,814.2778144,6,0,0,1,n
3,377.0990317,51,51,51,0.967379905,n
3,197.5789235,27,27,27,0.771377538,n
3,496.1965301,66,66,66,0.741703491,n
3,108.5458326,15,15,15,0.3668246,n
3,520.306788,69,69,69,0.989927035,n
3,491.3672097,65,65,65,0.888372975,n
1,603.619447,80,0,0,0.96760163,n
1,784.2121141,104,0,0,0.98678101,n
1,872.483978,116,0,0,0.988183455,n
1,492.9763107,65,0,0,0.715957548,n
1,658.0691233,87,0,0,0.977504027,n
2,496.3180594,66,66,0,0.980109921,n
2,630.6455808,84,84,0,0.974774946,n
2,706.2407579,94,94,0,0.982725291,n
2,228.6084869,31,31,0,0.694285985,n
2,274.0205641,37,37,0,0.681559746,n
2,754.3860109,100,100,0,0.977854638,n
2,677.8777111,90,90,0,0.977068132,n
2,402.2881062,54,54,0,0.976063679,n
2,456.3208253,61,61,0,0.990372406,n
2,743.3502541,99,99,0,0.953122335,n
2,155.450211,21,21,0,0.631280205,n
2,324.8906472,44,44,0,0.817843267,n
2,373.2386343,50,50,0,0.961603336,n
2,282.6267617,38,38,0,0.830882214,n
2,272.8258569,37,37,0,0.535383303,n
2,189.5252604,26,26,0,0.360598882,n
2,414.2627115,55,55,0,0.981019615,n
2,521.6728256,70,70,0,0.884904766,n
2,149.1224515,20,20,0,0.577996778,n
2,452.3481228,61,61,0,0.975523548,n
2,145.9890435,20,20,0,0.3668246,n
2,448.1801803,60,60,0,0.980100445,n
2,413.9189293,55,55,0,0.967468966,n
2,513.7400994,68,68,0,0.975191889,n
2,110.5235355,15,15,0,0.349436179,n
2,308.6542752,42,42,0,0.890580877,n
2,594.7538497,79,79,0,0.89123472,n
1,1088.456214,144,0,0,0.988733062,n
1,553.7016349,74,0,0,0.943589501,n
1,740.1419859,98,0,0,0.981265991,n
1,578.3096108,77,0,0,0.951340851,n
1,581.3807797,77,0,0,0.979133896,n
1,695.7546065,92,0,0,0.909239079,n
1,167.3933177,23,0,0,0.488818345,n
1,551.3543296,73,0,0,0.949549891,n
1,501.9032445,67,0,0,0.981995641,n
1,544.9540074,72,0,0,0.985359613,n
1,482.2321839,64,0,0,0.92353833,n
1,726.4341185,96,0,0,0.968264948,n
1,626.468785,83,0,0,0.976006823,n
1,911.1417534,120,0,0,0.973590448,n
3,153.266520261765,21,21,21,0.502302662749929,y
3,155.221271276474,21,21,21,0.601070785558609,y
3,132.813227891922,18,18,18,0.368767175210841,y
3,141.356811285019,20,19,19,0.566379228655359,y
3,137.568749904633,19,19,19,0.409153795129347,y
3,139.563777446747,19,19,19,0.440168672415427,y
3,133.88324379921,18,18,18,0.549663602766986,y
3,197.375973939896,27,27,27,0.60739126314792,y
3,155.829583644867,21,21,21,0.567601629868284,y
3,164.538803815842,23,23,22,0.669060930541078,y
3,154.071138381958,21,21,21,0.587302188951009,y
3,130.530564069748,18,18,18,0.380953283426514,y
3,160.913424015045,22,22,22,0.627489813323226,y
3,181.783616065979,25,25,25,0.682696863451151,y
3,180.521704435349,25,25,25,0.634833696579172,y
3,189.095203876495,26,26,26,0.671477305031744,y
3,134.856947183609,19,18,18,0.406415237373259,y
3,167.581255197525,23,23,23,0.629934615749076,y
3,167.759108066559,23,23,23,0.560598881834549,y
3,247.081139326096,33,33,33,0.693385767080451,y
3,143.948915958405,20,20,20,0.573012413531697,y
3,156.930112361908,22,21,21,0.569174642281816,y
3,198.908333063126,27,27,27,0.603288164502985,y
3,195.412267208099,27,27,27,0.600691746422818,y
3,148.819201231003,20,20,20,0.569638965223159,y
3,250.851144313812,34,34,34,0.741343693736378,y
3,204.384526491165,28,28,28,0.66387757035914,y
